Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),Activity
-0.404,-0.912,-0.051,82,0
-0.399,-0.915,-0.053,82,0
-0.394,-0.919,-0.051,82,0
-0.39,-0.921,-0.049,82,0
-0.389,-0.919,-0.053,84,0
-0.397,-0.918,-0.054,84,0
-0.41,-0.916,-0.051,85,0
-0.41,-0.907,-0.05,85,0
-0.403,-0.903,-0.051,85,0
-0.408,-0.907,-0.052,86,0
-0.413,-0.91,-0.053,86,0
-0.405,-0.905,-0.055,86,0
-0.397,-0.906,-0.053,86,0
-0.401,-0.911,-0.052,86,0
-0.416,-0.911,-0.056,87,0
-0.417,-0.906,-0.057,87,0
-0.404,-0.904,-0.055,87,0
-0.4,-0.908,-0.057,87,0
-0.399,-0.916,-0.056,88,0
-0.397,-0.92,-0.055,88,0
-0.394,-0.919,-0.057,89,0
-0.391,-0.918,-0.056,89,0
-0.39,-0.919,-0.054,89,0
-0.394,-0.919,-0.059,89,0
-0.395,-0.916,-0.063,90,0
-0.393,-0.917,-0.06,90,0
-0.392,-0.918,-0.054,90,0
-0.391,-0.917,-0.057,90,0
-0.39,-0.919,-0.061,91,0
-0.389,-0.921,-0.061,91,0
-0.391,-0.918,-0.06,91,0
-0.393,-0.915,-0.059,92,0
-0.393,-0.916,-0.058,92,0
-0.392,-0.92,-0.058,92,0
-0.391,-0.919,-0.061,93,0
-0.389,-0.915,-0.064,93,0
-0.389,-0.916,-0.062,93,0
-0.398,-0.914,-0.058,94,0
-0.412,-0.907,-0.058,94,0
-0.411,-0.904,-0.06,94,0
-0.401,-0.911,-0.06,94,0
-0.394,-0.919,-0.058,95,0
-0.392,-0.92,-0.058,95,0
-0.391,-0.917,-0.06,95,0
-0.389,-0.914,-0.062,95,0
-0.387,-0.919,-0.061,96,0
-0.389,-0.925,-0.059,96,0
-0.391,-0.918,-0.06,96,0
-0.39,-0.909,-0.063,97,0
-0.387,-0.911,-0.06,97,0
-0.387,-0.918,-0.056,97,0
-0.387,-0.921,-0.057,98,0
-0.384,-0.921,-0.063,98,0
-0.381,-0.925,-0.063,98,0
-0.382,-0.929,-0.061,98,0
-0.386,-0.929,-0.062,99,0
-0.386,-0.924,-0.064,99,0
-0.384,-0.923,-0.063,99,0
-0.382,-0.922,-0.06,99,0
-0.38,-0.922,-0.06,100,0
-0.381,-0.929,-0.065,100,0
-0.384,-0.932,-0.068,100,0
-0.386,-0.928,-0.07,101,0
-0.386,-0.928,-0.07,101,0
-0.386,-0.929,-0.07,101,0
-0.385,-0.922,-0.072,101,0
-0.381,-0.914,-0.073,102,0
-0.38,-0.918,-0.071,102,0
-0.385,-0.927,-0.071,102,0
-0.388,-0.929,-0.072,102,0
-0.385,-0.924,-0.071,102,0
-0.381,-0.92,-0.07,103,0
-0.382,-0.923,-0.068,103,0
-0.387,-0.926,-0.066,103,0
-0.388,-0.919,-0.069,103,0
-0.388,-0.912,-0.071,103,0
-0.393,-0.913,-0.067,103,0
-0.4,-0.917,-0.06,103,0
-0.405,-0.913,-0.067,103,0
-0.412,-0.908,-0.085,104,0
-0.408,-0.916,-0.09,104,0
-0.388,-0.929,-0.079,104,0
-0.383,-0.936,-0.057,104,0
-0.398,-0.928,-0.062,104,0
-0.401,-0.933,-0.071,104,0
-0.363,-0.929,-0.053,104,0
-0.335,-0.906,-0.034,104,0
-0.349,-0.902,-0.032,104,0
-0.388,-0.908,-0.042,104,0
-0.422,-0.908,-0.05,104,0
-0.419,-0.908,-0.05,104,0
-0.402,-0.91,-0.033,104,0
-0.398,-0.907,-0.03,104,0
-0.414,-0.904,-0.045,104,0
-0.423,-0.909,-0.052,104,0
-0.413,-0.914,-0.052,104,0
-0.401,-0.91,-0.051,104,0
-0.378,-0.905,-0.049,104,0
-0.354,-0.895,-0.065,105,0
-0.36,-0.91,-0.065,105,0
-0.377,-0.939,-0.064,105,0
-0.385,-0.934,-0.09,105,0
-0.385,-0.929,-0.091,105,0
-0.367,-0.934,-0.074,105,0
-0.358,-0.93,-0.076,105,0
-0.374,-0.92,-0.087,105,0
-0.391,-0.911,-0.085,105,0
-0.391,-0.901,-0.083,105,0
-0.366,-0.916,-0.096,105,0
-0.322,-0.949,-0.087,105,0
-0.303,-0.957,-0.076,104,0
-0.337,-0.947,-0.077,104,0
-0.378,-0.941,-0.076,104,0
-0.386,-0.926,-0.089,104,0
-0.378,-0.908,-0.097,104,0
-0.378,-0.904,-0.091,104,0
-0.376,-0.912,-0.089,104,0
-0.372,-0.923,-0.095,104,0
-0.368,-0.929,-0.104,104,0
-0.356,-0.932,-0.107,104,0
-0.337,-0.939,-0.1,104,0
-0.322,-0.942,-0.097,104,0
-0.312,-0.944,-0.104,104,0
-0.308,-0.943,-0.099,104,0
-0.303,-0.94,-0.09,104,0
-0.301,-0.941,-0.093,104,0
-0.315,-0.949,-0.089,104,0
-0.331,-0.954,-0.081,104,0
-0.333,-0.948,-0.09,104,0
-0.331,-0.939,-0.106,104,0
-0.327,-0.939,-0.114,104,0
-0.316,-0.94,-0.117,104,0
-0.311,-0.938,-0.12,104,0
-0.314,-0.941,-0.114,104,0
-0.307,-0.94,-0.108,104,0
-0.296,-0.933,-0.109,104,0
-0.302,-0.933,-0.109,104,0
-0.325,-0.942,-0.111,104,0
-0.343,-0.946,-0.118,104,0
-0.339,-0.944,-0.121,104,0
-0.326,-0.935,-0.113,104,0
-0.323,-0.925,-0.11,104,0
-0.33,-0.928,-0.113,104,0
-0.338,-0.935,-0.117,104,0
-0.344,-0.937,-0.123,104,0
-0.338,-0.94,-0.124,104,0
-0.324,-0.941,-0.122,104,0
-0.312,-0.939,-0.122,103,0
-0.305,-0.936,-0.126,103,0
-0.304,-0.942,-0.131,102,0
-0.303,-0.95,-0.127,102,0
-0.295,-0.947,-0.123,102,0
-0.285,-0.946,-0.126,102,0
-0.275,-0.952,-0.129,101,0
-0.265,-0.953,-0.133,101,0
-0.26,-0.95,-0.138,101,0
-0.252,-0.953,-0.137,101,0
-0.245,-0.959,-0.133,100,0
-0.246,-0.964,-0.127,100,0
-0.252,-0.967,-0.125,100,0
-0.262,-0.973,-0.126,100,0
-0.268,-0.975,-0.125,99,0
-0.262,-0.966,-0.119,99,0
-0.263,-0.958,-0.118,98,0
-0.275,-0.965,-0.123,98,0
-0.283,-0.968,-0.126,98,0
-0.273,-0.953,-0.124,98,0
-0.263,-0.936,-0.116,97,0
-0.272,-0.927,-0.125,97,0
-0.296,-0.932,-0.143,97,0
-0.317,-0.928,-0.14,97,0
-0.323,-0.92,-0.119,96,0
-0.32,-0.929,-0.096,96,0
-0.328,-0.936,-0.089,96,0
-0.342,-0.933,-0.098,96,0
-0.346,-0.935,-0.106,95,0
-0.341,-0.938,-0.111,95,0
-0.325,-0.929,-0.115,95,0
-0.311,-0.923,-0.116,95,0
-0.316,-0.939,-0.11,95,0
-0.338,-0.955,-0.099,95,0
-0.349,-0.957,-0.1,95,0
-0.343,-0.957,-0.114,95,0
-0.333,-0.947,-0.129,95,0
-0.326,-0.927,-0.123,95,0
-0.314,-0.926,-0.103,95,0
-0.289,-0.937,-0.091,94,0
-0.273,-0.945,-0.09,94,0
-0.291,-0.947,-0.095,94,0
-0.337,-0.943,-0.099,94,0
-0.367,-0.942,-0.1,94,0
-0.369,-0.929,-0.103,94,0
-0.366,-0.906,-0.104,94,0
-0.359,-0.893,-0.101,94,0
-0.346,-0.901,-0.106,94,0
-0.349,-0.926,-0.113,94,0
-0.361,-0.944,-0.104,95,0
-0.358,-0.942,-0.084,95,0
-0.347,-0.938,-0.083,95,0
-0.352,-0.939,-0.095,95,0
-0.368,-0.941,-0.095,95,0
-0.366,-0.942,-0.091,95,0
-0.341,-0.947,-0.099,95,0
-0.315,-0.949,-0.107,95,0
-0.305,-0.942,-0.105,95,0
-0.302,-0.932,-0.1,95,0
-0.31,-0.932,-0.099,97,0
-0.319,-0.943,-0.098,97,0
-0.323,-0.946,-0.097,97,0
-0.334,-0.946,-0.102,97,0
-0.348,-0.951,-0.106,97,0
-0.339,-0.937,-0.11,97,0
-0.31,-0.913,-0.118,97,0
-0.297,-0.907,-0.119,97,0
-0.301,-0.92,-0.113,97,0
-0.309,-0.942,-0.111,97,0
-0.333,-0.971,-0.108,98,0
-0.36,-0.988,-0.094,98,0
-0.373,-0.961,-0.081,98,0
-0.361,-0.902,-0.084,98,0
-0.32,-0.867,-0.098,98,0
-0.295,-0.884,-0.104,98,0
-0.306,-0.925,-0.103,98,0
-0.337,-0.954,-0.099,98,0
-0.366,-0.957,-0.099,98,0
-0.372,-0.936,-0.106,98,0
-0.359,-0.922,-0.11,100,0
-0.344,-0.93,-0.107,100,0
-0.341,-0.942,-0.108,100,0
-0.351,-0.943,-0.114,100,0
-0.347,-0.94,-0.114,100,0
-0.326,-0.939,-0.11,100,0
-0.3,-0.934,-0.11,100,0
-0.283,-0.932,-0.114,100,0
-0.293,-0.94,-0.114,100,0
-0.314,-0.947,-0.111,100,0
-0.33,-0.945,-0.112,102,0
-0.346,-0.936,-0.117,102,0
-0.348,-0.932,-0.118,102,0
-0.327,-0.934,-0.114,102,0
-0.302,-0.942,-0.11,102,0
-0.288,-0.952,-0.109,102,0
-0.295,-0.958,-0.104,102,0
-0.314,-0.961,-0.099,102,0
-0.321,-0.955,-0.104,102,0
-0.312,-0.945,-0.109,102,0
-0.296,-0.937,-0.113,103,0
-0.286,-0.937,-0.111,103,0
-0.29,-0.941,-0.103,103,0
-0.301,-0.945,-0.097,103,0
-0.309,-0.945,-0.098,103,0
-0.312,-0.941,-0.102,103,0
-0.314,-0.937,-0.102,103,0
-0.312,-0.937,-0.1,103,0
-0.304,-0.939,-0.1,103,0
-0.297,-0.94,-0.104,103,0
-0.297,-0.941,-0.104,105,0
-0.305,-0.944,-0.093,105,0
-0.322,-0.949,-0.085,105,0
-0.334,-0.949,-0.09,105,0
-0.331,-0.945,-0.096,105,0
-0.321,-0.947,-0.093,105,0
-0.312,-0.949,-0.09,105,0
